structure_name,cell_density
GRN,523.4078517806539
ISN,1865.889212827988
PPY,646.6165413533835
AMBv,7274.116523400192
AMBd,15401.415571284126
IRN,2290.3092295867086
PRP,4225.656192236599
NR,422.06235011990407
LIN,8999.651931778628
LRNm,3354.8290678124417
LRNp,20982.55033557047
MARN,198.54659810462795
ICB,3569.1223950689755
MDRNd,12834.784166753767
MDRNv,1169.2966241852318
ACVII,518.2186234817814
VI,975.2380952380953
VII,2072.4845248209735
MV,2191.772214040255
LAV,4301.3455365070695
SUV,3601.872582943212
SPIV,7600.7731178539
x,20560.53384175405
XII,1111.2514206339185
y,1144.7154471544716
IO,292.2117832996751
DMX,1511.5342365433908
PARN,9543.287838663678
PAS,14880.516684607104
PGRNd,2110.5623705591843
PGRNl,4289.044289044289
RM,221.21156994724396
RO,37.49267721148213
RPA,509.5541401273885
AP,408.54843186233694
SPVC,12918.443441236139
SPVI,17716.540326757382
SPVO,25874.27979542953
Pa5,10132.712456344587
VCO,2368.794976394555
DCO,5151.332195826224
NTB,954.4175576814857
NTS,6679.304897314376
GR,2794.1787941787943
CU,19643.953345610804
ECU,3094.7030497592295
PRNr,3353.693062838189
LC,1119.1256830601092
LDT,1169.634489222118
RPO,1013.2916340891322
SLC,598.9304812834224
SLD,1004.2097206276311
NI,1334.2447026657553
CS,3784.8815344114328
SOCm,1019.13163019819
SOCl,936.0227351493727
POR,1081.4252479490633
NLL,3924.578088065527
PSV,1173.7596990359746
KF,2006.388264521472
PRNc,2182.2835205459974
B,1395.856052344602
SG,942.1661409043113
SUT,1303.1004164738547
P5,1610.809378725659
Acs5,1845.2200303490135
PC5,976.4510779436152
I5,6370.4463827603895
TRN,1302.546317422652
PDTg,2220.7456626061276
V,729.6158612143741
DTN,2617.062219371392
PCG,1399.3530729037072
PG,2632.310621153761
ME,1804.951560818084
PS,3283.8513101767217
PVp,6549.510173323286
PVpo,5000.0
AVP,3776.66817975488
AVPV,11918.906176331919
SCH,3563.234941204704
SFO,1797.0644543714104
SBPV,8992.223540266245
MEPO,5941.597796143251
MPO,4668.8385337484015
VMPO,10425.24705132292
VLPO,4590.132370637785
ADP,2730.055356561381
OV,12970.099667774088
DMH,9164.056461782533
PD,2986.214209968187
PVi,2851.931489582561
ARH,4442.370508632758
PVa,7489.940493057524
ASO,6355.658198614319
PVH,3857.9162815264754
SO,11044.444444444445
RCH,3943.398328690808
LHA,5149.272136188204
LPO,1778.0020690873307
PST,10137.741046831956
PSTN,5992.753623188405
STN,3759.093619558736
PeF,7207.166853303472
TU,6152.30420207903
FF,1725.6900212314224
PMv,9023.14990512334
VMHDM,4640.657907933006
VMHC,4022.986473344532
VMHVL,3650.912288415036
LM,4555.87542528134
MM,2550.8964291006077
SUM,4617.823542484628
TM,7053.266859092102
MPN,6698.585418933623
PVHd,2898.8391376451077
VMH,7828.557669154829
AHN,6770.883299510075
PH,5695.454344656978
PMd,3174.4583808437856
LGv,9138.234674531283
IGL,6267.564966313764
SubG,2851.2679917751884
IntG,3484.6625766871166
PO,1575.7050704192375
POL,3385.0107066381156
LP,3154.6241686535327
